Dealer,Invoice No,Date,Product,Batch,Expiry,HSN,MRP,Rate,Qty,Amount
Vivekananda Medical Distributors,F/1180,5/20/2026,"Gypsona Plaster 4""",25N069,30-May,30059040,224,125,5,656.26
Vivekananda Medical Distributors,F/1180,5/20/2026,Winzocin Inj,I495008,27-Oct,30049099,59.59,22,5,115.5
Vivekananda Medical Distributors,F/1180,5/20/2026,Soframycin Skin Cream 30GM,I5CH37,27-Sep,30041090,56.71,42,2,88.2
Vivekananda Medical Distributors,F/1180,5/20/2026,Soframycin Skin Cream 30GM,I4CH611,27-Apr,30041090,55.77,42,1,44.1
Vivekananda Medical Distributors,F/1180,5/20/2026,BD Venflon I-22G,5207517,30-Jun,90183930,321,55,5,288.76
Vivekananda Medical Distributors,F/1180,5/20/2026,Soflene IV Canula Fixe,G25J060033,28-Sep,90183990,98,18,10,189
Vivekananda Medical Distributors,F/1180,5/20/2026,Thrombonot 20MG,216,27-Nov,21069091,149.27,95,1,99.76
Vivekananda Medical Distributors,F/1214,5/21/2026,4U Dressing Pad 10x20,CD0208,31-Jan,30059090,100,42,10,441
Vivekananda Medical Distributors,F/1214,5/21/2026,Glutradex 2.45%,G2B/26-003,27-Dec,30049029,937.5,605,1,635.26
Vivekananda Medical Distributors,F/1693,6/9/2026,EPI Kit NG 16,G21092259,26-Aug,9018,1950,809.52,1,809.52
Vivekananda Medical Distributors,F/1737,6/10/2026,EPI Kit 16G,G26D010722,31-Mar,90189031,2258.13,809.52,2,1619.04
M.R. Pharmaceutical,MR000352,5/21/2026,Plain Sheet 30 (120CM x 210CM),126,28-Dec,90189099,119.5,57.96,20,1159.2
M.R. Pharmaceutical,MR000352,5/21/2026,Oxy Set (Adult) 2 MTR,G26A040330,30-Dec,90192090,255,34.58,20,691.6
M.R. Pharmaceutical,MR000352,5/21/2026,Oxy Set (Child) 2MTR,G26A046028,30-Dec,90192090,236.25,32.55,15,488.25
M.R. Pharmaceutical,MR000352,5/21/2026,Venflon 22G IV Cannula with Wing,5207517,30-Jun,90133930,342.5,70.3,50,3515
M.R. Pharmaceutical,MR000490,6/9/2026,Teicob Otic-400 (Teicoplanin),V651033,27-Jan,30049099,3941,488,5,2440
M.R. Pharmaceutical,MR000502,6/10/2026,Metron IV Inj (Metronidazole),26440123,27-Feb,30049022,22.05,14.28,10,142.8
M.R. Pharmaceutical,MR000502,6/10/2026,Ondem 2ML,OND25281SR,27-Sep,30049035,12.73,5.4,10,54
M.R. Pharmaceutical,MR000502,6/10/2026,Rantac 2ML Inj,XIR224112,26-Oct,300420,6.81,4.98,10,49.8
M.R. Pharmaceutical,MR000502,6/10/2026,NS 100ML (Judex),S6030495,28-Feb,30049099,21.02,14.57,100,1457
